Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S08000024,,75plus years,,Males,,Coronary Heart Disease,337,,1486.02169503484,,1623.0958140047012
2011,S08000024,,75plus years,,Females,,Coronary Heart Disease,374,,1037.21781574131,,1008.1082734535177
2011,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2011,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,92.100599618002
2011,S08000025,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,255.0468028341248
2011,S08000025,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,257.86487880350694
2011,S08000025,,75plus years,,Males,,Coronary Heart Disease,,c,,c,2646.110057868714
2011,S08000025,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1146.0851711305431
2011,S08000026,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2011,S08000026,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,113.63811372527562
2011,S08000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,31.813621124244428
2011,S08000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,171.7408274785324
2011,S08000026,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,269.1376526612565
2011,S08000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1120.400226521508
2011,S08000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1261.0659914315004
2011,S08000028,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2011,S08000028,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,99.9090819712664
2011,S08000028,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,24.943431859889184
2011,S08000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,715.6759632007157
2011,S08000028,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,239.25258149028951
2011,S08000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,2436.7830220499413
2011,S08000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,964.6110704501058
2011,S08000029,,0-44 years,,Males,,Coronary Heart Disease,7,,7.09787976191683,,7.4204102044771565
2011,S08000029,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2011,S08000029,,45-64 years,,Males,,Coronary Heart Disease,47,,94.1713919333186,,93.79249851589208
2011,S08000029,,45-64 years,,Females,,Coronary Heart Disease,12,,22.9467444306339,,23.861137715337588
2011,S08000029,,65-74 years,,Males,,Coronary Heart Disease,74,,440.109432615677,,456.49746838279407
2011,S08000029,,65-74 years,,Females,,Coronary Heart Disease,26,,139.41018766756,,140.78749325836816
2011,S08000029,,75plus years,,Males,,Coronary Heart Disease,155,,1332.64551629267,,1435.0940300969885
2011,S08000029,,75plus years,,Females,,Coronary Heart Disease,188,,1074.16295280539,,1057.4765256293172
2011,S08000030,,0-44 years,,Males,,Coronary Heart Disease,9,,8.22661584446212,,8.795724578878213
2011,S08000030,,0-44 years,,Females,,Coronary Heart Disease,2,,1.82225704757913,,1.7854091265013374
2011,S08000030,,45-64 years,,Males,,Coronary Heart Disease,72,,129.725054952975,,128.71576067567224
2011,S08000030,,45-64 years,,Females,,Coronary Heart Disease,16,,27.65199958522,,27.03155707533442
2011,S08000030,,65-74 years,,Males,,Coronary Heart Disease,98,,515.057549797656,,520.4577853830104
2011,S08000030,,65-74 years,,Females,,Coronary Heart Disease,33,,153.331474770003,,153.9998157326871
2011,S08000030,,75plus years,,Males,,Coronary Heart Disease,199,,1352.54536804187,,1482.6747541680902
2011,S08000030,,75plus years,,Females,,Coronary Heart Disease,218,,970.225644220927,,959.549734699204
2011,S08000031,,0-44 years,,Males,,Coronary Heart Disease,22,,6.73522307364966,,7.350419804082214
2011,S08000031,,0-44 years,,Females,,Coronary Heart Disease,4,,1.2111852962105,,1.2214336697451962
2011,S08000031,,45-64 years,,Males,,Coronary Heart Disease,227,,156.576560419929,,161.26251767850033
2011,S08000031,,45-64 years,,Females,,Coronary Heart Disease,70,,45.210292446006,,46.56897491018705
2011,S08000031,,65-74 years,,Males,,Coronary Heart Disease,235,,546.321050796234,,551.8889934180296
2011,S08000031,,65-74 years,,Females,,Coronary Heart Disease,113,,221.394984326019,,220.35218004385757
2011,S08000031,,75plus years,,Males,,Coronary Heart Disease,429,,1382.48847926267,,1524.4099413610363
2011,S08000031,,75plus years,,Females,,Coronary Heart Disease,527,,983.043891883825,,972.770144278912
2011,S08000032,,0-44 years,,Males,,Coronary Heart Disease,11,,6.04176507420386,,6.0592802553213705
2011,S08000032,,0-44 years,,Females,,Coronary Heart Disease,3,,1.63168515003345,,1.5647033587352237
2011,S08000032,,45-64 years,,Males,,Coronary Heart Disease,122,,138.637939067489,,141.76429730386343
2011,S08000032,,45-64 years,,Females,,Coronary Heart Disease,37,,39.4923630308788,,40.37914263760884
2011,S08000032,,65-74 years,,Males,,Coronary Heart Disease,131,,488.168436743059,,495.8907413569551
2011,S08000032,,65-74 years,,Females,,Coronary Heart Disease,68,,215.305702434854,,216.65984893606384
2011,S08000032,,75plus years,,Males,,Coronary Heart Disease,234,,1353.30518766989,,1533.740174876492
2011,S08000032,,75plus years,,Females,,Coronary Heart Disease,324,,1144.9572407944,,1175.1568158381028
2011,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,96,,6.52639894381111,,6.803326485879879
2011,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,17,,1.15167256729494,,1.1601653491913144
2011,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,896,,125.790931540813,,126.60617272622964
2011,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,241,,32.3846381251848,,32.52922240310575
2011,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,1018,,448.302132737946,,455.3288456121436
2011,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,468,,181.605814490437,,182.91147716261176
2011,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2310,,1443.93951706161,,1595.264892838877
2011,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2590,,1029.3913078039,,1015.3055225887114
2012,S08000015,,0-44 years,,Males,,Coronary Heart Disease,6,,6.38168880758145,,6.721442637101914
2012,S08000015,,0-44 years,,Females,,Coronary Heart Disease,1,,1.03555044684002,,0.911024173375709
2012,S08000015,,45-64 years,,Males,,Coronary Heart Disease,80,,154.115856595195,,152.64984745263015
2012,S08000015,,45-64 years,,Females,,Coronary Heart Disease,25,,44.5299419329557,,44.11231123215516
2012,S08000015,,65-74 years,,Males,,Coronary Heart Disease,90,,455.996352029184,,467.45889769145583
2012,S08000015,,65-74 years,,Females,,Coronary Heart Disease,28,,127.232244285909,,128.19944060545626
